	Sci/tech            		    Sports              
152	service             	1.185	medal               	-1.181
153	largest             	1.184	maria               	-1.180
154	engineer            	1.181	freshman            	-1.180
155	wi                  	1.180	play                	-1.178
156	upcoming            	1.180	injury              	-1.174
157	tropical            	1.179	angels              	-1.172
158	sa                  	1.178	yankee              	-1.164
159	independent         	1.176	agent               	-1.163
160	ziff                	1.176	pga                 	-1.162
161	weapons             	1.174	espn                	-1.161
162	region              	1.172	marion              	-1.156
163	un                  	1.171	toronto             	-1.150
164	satellite           	1.167	justin              	-1.148
165	controls            	1.161	jacksonville        	-1.145
166	mayor               	1.157	lakers              	-1.144
167	station             	1.155	cincinnati          	-1.141
168	suggest             	1.154	carter              	-1.139
169	hardware            	1.151	yesterday           	-1.139
170	hurricane           	1.150	david               	-1.138
171	divided             	1.149	demanding           	-1.134
172	telescope           	1.148	winner              	-1.134
173	java                	1.142	chiefs              	-1.133
174	plant               	1.142	pakistan            	-1.131
175	browser             	1.142	glazer              	-1.131
176	microsystems        	1.141	milan               	-1.130
177	government          	1.140	chances             	-1.128
178	criminal            	1.130	jr                  	-1.125
179	studios             	1.127	cowboys             	-1.122
180	passengers          	1.127	antonio             	-1.122
181	strategy            	1.126	smith               	-1.118
182	waves               	1.125	touchdown           	-1.115
183	solar               	1.125	stretch             	-1.114
184	businesses          	1.121	wayne               	-1.109
185	plants              	1.120	scotland            	-1.108
186	global              	1.118	breaking            	-1.107
187	desktop             	1.118	ravens              	-1.104
188	copyright           	1.116	ranked              	-1.103
189	malicious           	1.115	james               	-1.101
190	islands             	1.113	steroids            	-1.095
191	shows               	1.112	seasons             	-1.092
192	homes               	1.104	indianapolis        	-1.086
193	rock                	1.103	schilling           	-1.081
194	mission             	1.101	night               	-1.080
195	branson             	1.094	motor               	-1.079
196	security            	1.094	contract            	-1.073
197	gt                  	1.090	open                	-1.069
198	account             	1.090	arena               	-1.069
199	countries           	1.089	curt                	-1.066
200	material            	1.082	maybe               	-1.066
201	links               	1.077	rafael              	-1.065
202	corp                	1.074	diamondbacks        	-1.062
203	gear                	1.072	harry               	-1.061
204	responsible         	1.071	lleyton             	-1.060
205	advance             	1.067	bobby               	-1.058
206	capsule             	1.066	hitting             	-1.054
207	tools               	1.065	hewitt              	-1.050
208	chipmaker           	1.064	midfielder          	-1.050
209	workers             	1.063	carolina            	-1.048
210	storage             	1.062	roster              	-1.043
211	aol                 	1.060	atlanta             	-1.038
212	arctic              	1.054	camp                	-1.035
213	house               	1.047	horse               	-1.032
214	officially          	1.042	abuse               	-1.032
215	idea                	1.041	weekend             	-1.028
216	itunes              	1.040	finals              	-1.027
217	environmental       	1.039	shot                	-1.026
218	require             	1.036	de                  	-1.023
219	population          	1.036	stood               	-1.019
220	engine              	1.036	63                  	-1.016
221	film                	1.032	handed              	-1.015
222	mobile              	1.032	eagles              	-1.013
223	3g                  	1.027	newcastle           	-1.013
224	instruments         	1.025	montreal            	-1.012
225	attacks             	1.023	tim                 	-1.008
226	peak                	1.022	captain             	-1.005
227	earthquake          	1.021	guy                 	-1.002
228	spammers            	1.020	he                  	-0.994
229	consumers           	1.019	beat                	-0.993
230	application         	1.018	broke               	-0.991
231	female              	1.016	career              	-0.991
232	within              	1.015	everton             	-0.991
233	laptop              	1.015	trafford            	-0.988
234	net                 	1.012	patrick             	-0.987
235	priority            	1.012	crowd               	-0.986
236	information         	1.012	situation           	-0.983
237	computers           	1.012	roddick             	-0.982
238	explorer            	1.008	twins               	-0.982
239	onto                	1.005	2006                	-0.980
240	mozilla             	1.005	linebacker          	-0.979
241	flight              	1.004	tiger               	-0.978
242	office              	1.003	colin               	-0.972
243	giant               	1.003	els                 	-0.970
244	recorded            	1.002	cbc                 	-0.970
245	protocol            	1.002	schedule            	-0.969
246	disease             	1.001	masters             	-0.968
247	bush                	0.999	round               	-0.965
248	neck                	0.999	boss                	-0.965
249	palmone             	0.999	baseman             	-0.959
250	love                	0.998	medals              	-0.955
251	reports             	0.995	athletes            	-0.948
252	jobs                	0.995	seahawks            	-0.945
253	protection          	0.994	michigan            	-0.944
254	prize               	0.992	circuit             	-0.943
255	sites               	0.991	victories           	-0.943
256	access              	0.990	rich                	-0.941
257	prices              	0.990	defender            	-0.940
258	victim              	0.989	governing           	-0.940
259	developer           	0.981	winning             	-0.940
260	thanks              	0.981	eve                 	-0.940
261	solution            	0.980	philippines         	-0.938
262	product             	0.980	division            	-0.935
263	northern            	0.979	easy                	-0.926
264	portable            	0.979	roger               	-0.926
265	associated          	0.978	braves              	-0.925
266	products            	0.978	munich              	-0.925
267	developers          	0.973	rape                	-0.924
268	graphics            	0.971	knee                	-0.924
269	camera              	0.970	cleared             	-0.921
270	site                	0.967	85                  	-0.920
271	outsourcing         	0.959	rockets             	-0.919
272	console             	0.959	manning             	-0.918
273	person              	0.956	jim                 	-0.917
274	solutions           	0.952	teammate            	-0.917
275	amd                 	0.951	england             	-0.912
276	cisco               	0.951	draw                	-0.911
277	flat                	0.951	graeme              	-0.910
278	lawsuits            	0.950	test                	-0.908
279	contractor          	0.950	ron                 	-0.905
280	cold                	0.949	dallas              	-0.905
281	yahoo               	0.943	oklahoma            	-0.904
282	apparent            	0.942	bob                 	-0.903
283	santa               	0.941	malcolm             	-0.901
284	models              	0.940	convoy              	-0.900
285	hurricanes          	0.938	derek               	-0.898
286	worldwide           	0.937	york                	-0.897
287	com                 	0.932	packers             	-0.896
288	witness             	0.931	matches             	-0.895
289	vaccine             	0.931	andy                	-0.895
290	pentagon            	0.931	uefa                	-0.895
291	evidence            	0.926	jets                	-0.894
292	group               	0.926	retirement          	-0.891
293	voters              	0.924	killed              	-0.890
294	stem                	0.922	jackson             	-0.889
295	venture             	0.921	his                 	-0.888
296	claims              	0.920	sign                	-0.887
297	trip                	0.920	shanghai            	-0.887
298	plus                	0.920	brazilian           	-0.887
299	carrier             	0.919	connecticut         	-0.882
300	2007                	0.919	qualifying          	-0.880
